Q3_1,Q3Bin,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12,Q13,Q14,Q16,Q17,Q18,Q19
75,4,3,1,1,1,1,,,1,1,,,,,2,2,,,,,,,,1,,1,,,3,3,2,1,3,1,3
80,5,4,1,1,1,1,1,,1,,1,1,1,,4,2,,,,,,,1,1,1,1,1,,3,4,5,1,4,1,6
85,5,2,1,1,,1,,,1,,,,,,2,3,,,1,1,1,,,,,,,,4,2,4,2,4,1,7
85,5,1,1,1,1,1,,,1,,1,1,,,3,2,,,,,,,,1,1,1,,,2,5,2,1,3,1,5
29,2,4,1,,,1,,,1,,,1,,,5,3,1,,1,1,1,,,,,,,,2,2,2,1,4,1,6
70,4,2,1,1,,1,,,1,,,1,,,3,1,,,,,,,1,1,1,1,1,,2,4,2,1,4,1,6
30,2,2,1,,,1,,,,,,,,1,1,3,1,,1,1,1,,,,,,,,4,2,4,2,3,1,6
71,4,2,1,1,,,,,,1,,,,,1,2,,,,,,,,1,1,1,,,3,4,5,1,4,1,4
65,4,3,1,1,,1,,,,,,1,,,2,3,,,1,1,1,,,,,,,,4,2,5,2,5,1,7
86,5,3,1,1,1,1,,,,,,1,,,5,1,,,,,,,1,,,,,,3,3,2,1,3,1,7
80,5,4,1,1,,1,,,1,,,1,,,5,2,,,,,,,,1,1,1,,,2,5,4,2,3,1,7
50,3,2,1,1,,1,,,1,,,1,,,5,2,,,,,,,1,,,1,,,3,4,2,2,5,1,6
70,4,2,1,1,1,1,,,,,1,1,,,3,1,,,,,,,1,1,1,1,1,,2,5,2,2,3,1,6
80,5,3,1,1,1,1,,,1,,,1,,,4,3,,,1,,,,,,,,,,2,2,5,2,3,1,4
20,2,2,1,1,1,1,,,1,1,,,,,5,3,1,,,,,,,,,,,,3,4,3,1,3,1,5
73,4,2,,1,,,,,,1,,,,,4,2,,,,,,,1,1,,,,,2,4,3,2,3,1,5
20,2,2,1,1,,1,,,1,,,1,,,4,3,,1,,,,,,,,,,,4,2,2,2,3,1,5
80,5,3,1,1,,1,,,1,,,1,,,4,2,,,,,,,1,1,,1,,,3,4,2,2,6,1,7
50,3,1,1,1,,1,,,,,,,,1,1,3,,,1,1,1,,,,,,,,1,5,5,2,3,1,5
70,4,2,1,1,1,1,,,1,,,1,,,3,2,,,,,,,,1,,,,,4,4,4,1,3,3,1
62,4,2,1,,1,1,,,,,,1,,,2,2,,,,,,,,,1,,,,4,4,4,2,3,1,3
86,5,2,1,1,1,1,,,1,1,1,1,,,2,1,,,,,,,1,,1,1,,,2,4,4,2,3,1,4
70,4,2,1,1,,1,1,,,,,1,,,1,3,,,1,1,1,,,,,,,,4,1,5,2,5,1,9
22,2,1,1,,1,1,,,,,1,,,,1,3,,,,,1,,,,,,,,5,4,4,2,5,1,4
100,5,3,1,1,1,1,,,1,,,,,,1,2,,,,,,,1,,1,1,,,2,5,5,2,3,1,3
48,3,3,1,1,1,1,,,,,,,,1,1,3,1,,1,,,,,,,,,,3,2,3,2,3,1,4
42,3,3,1,,,,,,1,,,,,,4,2,,,,,,,,,,1,,,3,3,3,2,4,1,4
75,4,1,1,1,,1,,,,,,1,,,1,3,,,1,1,1,,,,,,,,4,3,5,2,5,1,6
90,5,5,1,1,1,1,1,,1,,1,1,,,5,1,,,,,,,,1,1,1,1,,4,5,4,1,3,1,4
90,5,4,1,1,1,1,,,1,,,1,,,5,1,,,,,,,,1,1,1,1,,2,3,2,2,3,1,4
60,4,2,1,1,1,1,,,,,,1,,,1,3,1,,1,,,1,,,,,,,4,2,4,2,3,1,4
65,4,4,1,1,,1,,,1,,,1,,,4,2,,,,,,,1,1,1,1,,,3,4,3,2,5,1,6
96,5,2,1,1,1,1,,,,,,1,,,5,3,,,1,,,,,,,,,,5,2,5,2,4,1,6
96,5,4,1,1,1,1,1,,,1,1,,,,5,3,,,,1,1,1,,,,,,,5,2,5,2,3,1,5
30,2,4,1,1,1,1,,,,,,,,1,1,3,1,,1,1,1,,,,,,,,4,2,3,2,3,4,4
60,4,4,1,,,1,,,,,,,1,,4,3,1,,,,,,,,,,,,4,3,3,2,7,6,8
80,5,4,1,1,1,1,1,,1,1,1,1,1,,5,2,,,,,,,1,,1,1,,,2,2,4,1,3,1,6
94,5,5,1,1,1,1,,,1,,,,,,4,1,,,,,,,1,1,1,1,1,,3,2,2,1,4,1,6
50,3,3,1,1,1,1,,,,,1,,,,2,3,1,,1,,1,1,,,,,,,4,2,4,2,3,1,8
85,5,4,1,1,1,1,1,,1,1,1,1,,,5,3,,,1,1,1,,,,,,,,3,4,4,1,4,1,7
66,4,1,1,1,,1,,,,,,,,1,1,2,,,,,,,,,,1,,,4,4,3,2,4,1,7
86,5,2,1,1,,1,,,1,,,1,,,5,3,,,1,,1,,,,,,,,5,2,5,2,3,4,2
49,3,3,1,1,1,1,,,,1,,,,,5,3,,1,1,,1,,,,,,,,4,2,4,2,3,1,3
100,5,2,1,1,,1,,,1,,,,,,3,2,,,,,,,1,1,1,1,,,4,4,4,2,9,8,9
86,5,2,1,1,,1,,,,,,1,,,2,2,,,,,,,,1,1,1,,,2,4,4,2,3,1,4
70,4,3,1,1,1,1,,,1,,,1,,,2,2,,,,,,,1,1,1,1,1,,3,2,4,1,4,1,9
70,4,3,1,1,1,1,,,,,1,1,,,2,3,,,,1,,,,,,,,,3,3,5,2,4,1,5
75,4,4,1,1,1,1,,,1,1,1,,,,5,3,1,,,1,,,,,,,,,3,4,3,1,4,1,5
29,2,3,1,,,1,,,,,,,,1,1,3,1,,,,,,,,,,,,4,3,3,1,3,1,4
30,2,1,1,1,,1,,,,,,,,1,1,3,,,1,1,1,,,,,,,,5,4,5,2,6,1,5
45,3,2,1,1,1,1,,,,,,,,1,2,2,,,,,,,1,,,,,,4,3,5,1,6,1,5
90,5,4,1,1,1,1,,,,1,,,,,5,3,1,,,,,,,,,,,,2,2,2,1,4,1,9
80,5,2,,1,1,1,,,,1,,,,,2,2,,,,,,,,,1,,,,2,2,4,2,6,1,6
80,5,4,1,1,,1,,,,,,,,1,1,2,,,,,,,,1,,,,,2,3,2,2,6,1,8
